 ,Area,Mean,Min,Max,Angle,Length
231,18,155.168,83.709,220.007,-125.538,17.205
232,26,158.643,105.122,226.949,-58.241,24.698
233,49,186.921,95.500,245.667,-40.732,47.508
234,18,149.271,101.941,209.000,-107.354,16.763
235,25,170.580,118.406,230.229,-104.621,23.770
236,25,153.576,68.000,221.847,-124.992,24.413
237,31,153.359,53.000,208.689,-105.422,30.083
238,20,145.966,82.316,231.421,-78.111,19.416
239,20,135.787,80.421,232.789,-96.009,19.105
240,27,168.344,99.533,233.160,-57.529,26.077
241,30,157.633,54.000,255.000,-90.000,29.000
242,26,147.865,64.920,215.200,-85.426,25.080
243,17,139.059,79.500,207.000,-97.125,16.125
244,13,138.483,88.111,224.000,-124.992,12.207
245,18,142.237,62.000,206.329,-72.646,16.763
246,30,132.237,73.000,197.897,-143.531,28.601
247,19,127.506,59.000,181.843,-73.610,17.720
248,24,127.755,72.078,197.720,-142.125,22.804
249,12,142.083,60.000,223.000,-90.000,11.000
250,12,152.129,83.000,184.455,-84.806,11.045
251,29,141.910,81.648,214.204,-158.962,27.857
252,23,168.178,108.975,218.537,-116.565,22.361
253,26,176.332,77.000,242.000,-143.130,25.000
254,15,140.690,76.000,193.510,-126.027,13.601
255,20,141.663,55.474,212.947,-93.013,19.026
256,27,134.724,70.231,209.769,-94.399,26.077
257,27,149.562,49.000,209.012,-24.624,26.401
258,27,152.946,58.231,235.846,-85.601,26.077
259,18,130.370,69.855,173.000,-69.444,17.088
