369,73532	66606
369,87573	66673
370,01614	66703
370,15656	66772
370,29694	66754
370,43732	66693
370,5777	66821
370,71808	66785
370,85843	66732
370,99878	66737
371,13913	66762
371,27948	66840
371,4198	66895
371,56012	66815
371,70044	66873
371,84073	66809
371,98102	66826
372,12131	66794
372,2616	66832
372,40189	66777
372,54214	66901
372,6824	66858
372,82263	66783
372,96289	66846
373,10312	66874
373,24335	66901
373,38354	66827
373,52377	66907
373,66397	66885
373,80414	66971
373,94434	66864
374,0845	66935
374,22467	66935
374,36484	66988
374,50497	66912
374,64514	66987
374,78525	66947
374,92538	67049
375,06549	66857
375,20563	66959
375,3457	66958
375,48581	66958
375,62589	67039
375,76596	66949
375,90604	67063
376,04611	67000
376,18616	67007
376,3262	67008
376,46625	67061
376,60626	66989
376,74628	66961
376,88629	67019
377,02631	67083
377,16629	66998
377,3063	67046
377,44626	67062
377,58624	66889
377,7262	66949
377,86615	67004
378,0061	67098
378,14606	67033
378,28598	67027
378,4259	67001
378,56583	67044
378,70572	67062
378,84561	67089
378,9855	67118
379,1254	67019
379,26526	67077
379,40512	67047
379,54498	67024
379,68484	67117
379,82468	67005
379,96451	67164
380,10434	67059
380,24414	67085
380,38397	67053
380,52377	67097
380,66354	67174
380,80334	67106
380,94312	67133
381,08289	67130
381,22263	67113
381,3624	67129
381,50214	67068
381,64188	67079
381,78159	67134
381,9213	67108
382,061	67139
382,20071	67094
382,34042	67096
382,4801	67136
382,61978	67088
382,75943	67179
382,89911	67148
383,03876	67176
383,17841	67207
383,31802	67167
383,45767	67092
383,59729	67235
383,73688	67126
383,8765	67243
384,01608	67115
384,15567	67189
384,29526	67141
384,43481	67167
384,57437	67140
384,71393	67203
384,85349	67157
384,99301	67154
385,13254	67134
385,27206	67175
385,41159	67187
385,55109	67182
385,69058	67204
385,83008	67212
385,96954	67207
386,10901	67232
386,24847	67115
386,38794	67227
386,52737	67190
386,66681	67233
386,80624	67299
386,94565	67249
387,08508	67233
387,22449	67142
387,36386	67172
387,50327	67217
387,64264	67168
387,78201	67171
387,92139	67325
388,06073	67211
388,20007	67248
388,33942	67278
388,47873	67158
388,61807	67279
388,75739	67266
388,8967	67240
389,03598	67273
389,17526	67294
389,31454	67296
389,45383	67230
389,59308	67258
389,73233	67313
389,87158	67244
390,01083	67290
390,15005	67241
390,28928	67247
390,4285	67227
390,56769	67334
390,70688	67342
390,84607	67195
390,98526	67302
391,12442	67303
391,26358	67315
391,40274	67289
391,5419	67302
391,68103	67309
391,82016	67375
391,95929	67232
392,09839	67281
392,23749	67262
392,37659	67284
392,51569	67360
392,65475	67321
392,79382	67293
392,93289	67307
393,07196	67324
393,211	67321
393,35004	67295
393,48907	67363
393,62808	67336
393,76709	67300
393,9061	67333
394,0451	67327
394,18408	67255
394,32306	67339
394,46204	67344
394,60101	67366
394,73996	67314
394,87891	67274
395,01785	67384
395,15677	67452
395,29568	67326
395,4346	67349
